id,created_at,conversation_id,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1.499735970001961e+18,2022-03-04T13:18:13.000Z,1.499735970001961e+18,RT @CarFace_io: Uzupełnianie w kijowskim #zoo - urodził się lemur. Nazwany Bayraktar 🛫 #Ukraine #Kyiv #war #stopputinnow https://t.co/92fm8…,19800896.0,2,0,0,0
1.4997359477679186e+18,2022-03-04T13:18:08.000Z,1.4997359477679186e+18,"Skoro ruskie onuce straszą od lat atakiem ze strony NATO to może przypomną, kiedy ostatni raz NATO ich zaatakowało?🤔

#StopPutinNOW",1386659503.0,0,0,1,0
1.4997358754287985e+18,2022-03-04T13:17:51.000Z,1.4997358754287985e+18,"RT @YourPolandAnon: #Anonymous kontynuuje swój pokojowy atak na #Putin .
Wyciekła bazy danych rosyjskiej armii 

#StopPutinNOW #Putler #Sto…",1.430184440714629e+18,53,0,0,0
1.499735219359961e+18,2022-03-04T13:15:14.000Z,1.49973181048132e+18,"@PAPinformacje Czas wzywania już się dawno skończył,  teraz trzeba zdecydowanie działać i skończyć z tym mordercą #Putler #RussianUkrainianWar #UkraineRussianWar #StopPutinNOW @PAPinformacje",9.167427705131132e+17,0,0,0,0
1.499735053013762e+18,2022-03-04T13:14:35.000Z,1.499735053013762e+18,RT @gorzkismakwina: 🇺🇦 możecie napisać do mnie na dm. i udostępnić dalej! #ukraina #wojnawukrainie #wojna #tweetme #wojnaukraina #wojnanauk…,1.4653118118389228e+18,4,0,0,0
1.4997350085373624e+18,2022-03-04T13:14:24.000Z,1.4997350085373624e+18,Światowe Stowarzyszenie Jądrowe wspiera tworzenie bezpiecznych stref wokół elektrowni jądrowych na Ukrainie #Ukraine #war #stopputinnow,1.4875315863546593e+18,0,0,0,0
1.4997347095841587e+18,2022-03-04T13:13:13.000Z,1.4997347095841587e+18,Uzupełnianie w kijowskim #zoo - urodził się lemur. Nazwany Bayraktar 🛫 #Ukraine #Kyiv #war #stopputinnow https://t.co/92fm8ztIOt,1.4875315863546593e+18,2,0,3,0
1.4997346261930025e+18,2022-03-04T13:12:53.000Z,1.4997346261930025e+18,"#NATO na 100% nie zaangażuje się na Ukrainie lądowo ani powietrznie. Rozumiem Pana #Zalensky ale niestety pewnych rzeczy się nie przeskoczy. Ci, którzy myślą, że NATO powinno natychmiast pomóc Ukrainie powinni rozważyć czynniki za i przeciw.
#UkraineRussianWar #StopPutinNOW #war",1.439171913251795e+18,0,0,0,0
1.499735303501881e+18,2022-03-04T13:15:34.000Z,1.499735303501881e+18,Wyprowadzam się z kraju Polska kupuje gaz od Rosji nie pozwolę na to😭😭😭😭😡😡😡😡😭😭#pepsi,1.3565061100359557e+18,0,0,0,0
1.4997351748164076e+18,2022-03-04T13:15:04.000Z,1.4997351748164076e+18,"Coca Cola była podejrzana już wcześniej gdy wykreowała wizerunek Mikołaja nie jako Świętego Biskupa z Miry tylko jakiegoś czerwonego dziadka. Teraz zdziwienie, ze z Rosji nie wyjdą.
#pepsi",365656828.0,0,0,1,0
1.4997361585610015e+18,2022-03-04T13:18:58.000Z,1.4997361585610015e+18,"RT @plovescalum: hej sosiary, co wy na to żeby #COMPLETEMESS było piosenką miesiąca? zagłosujcie i podajcie dalej, zróbmy chłopakom jeszcze…",3359165829.0,2,0,0,0
1.4997339793474888e+18,2022-03-04T13:10:19.000Z,1.4997339793474888e+18,"hej sosiary, co wy na to żeby #COMPLETEMESS było piosenką miesiąca? zagłosujcie i podajcie dalej, zróbmy chłopakom jeszcze lepsze promo 😎 https://t.co/vRp9KhwMVj",1.2776585438234788e+18,2,0,2,1
1.4997361194868613e+18,2022-03-04T13:18:49.000Z,1.4997361194868613e+18,RT @MaciejNaskret: Czas by @pepsi i @cocacolapolska zawiesiła swoją produkcje w Rosji.... #WojnaWUkrainie #Putler #WARINUKRAINE https://t.c…,2935395705.0,2,0,0,0
1.4997359849923666e+18,2022-03-04T13:18:17.000Z,1.4997359849923666e+18,".@uknf oczekuje niezwłocznego wdrożenia przez polskie banki oferty skierowanej do uchodźców z Ukrainy, która zapewni im dostęp do podstawowych usług płatniczych #KNF #banki #Ukraina #WojnawUkrainie https://t.co/jsX3RdlRT3",2665264454.0,0,0,0,0
1.4997357111420027e+18,2022-03-04T13:17:11.000Z,1.4997357111420027e+18,"Jest dokładnie na odwrót, skoro tak twierdzi. Tak też gada PiS.#WojnaWUkrainie https://t.co/stILgN671G",8.524878079059558e+17,0,0,0,0
1.499735701998424e+18,2022-03-04T13:17:09.000Z,1.499735701998424e+18,"""Mam nadzieje, że nie będzie to ostatnia akcja, już zaangażowaliśmy kolejną. Liczę na to, że będziemy kontynuować naszą współpracę w tych trudnych dniach dla Europy"".

#WojnaWUkrainie #PomocDlaUkrainy #Rosja #Ukraina #RosjaUkraina 

https://t.co/UrjY8aA1nL",94290647.0,0,0,0,0
1.499734321078448e+18,2022-03-04T13:11:40.000Z,1.499734321078448e+18,"W Chersoniu potwierdzono 11 gwałtów ze strony rosyjskich żołnierzy. 5 kobiet nie przeżyło. To oni są w końcu zagubionymi chłopcami czy jednak dzikusami i godnymi potomkami Armii Czerwonej.
#Ukraina #wojna2022 #WojnaWUkrainie",1.362861656104198e+18,0,0,0,0
1.499734293098246e+18,2022-03-04T13:11:33.000Z,1.499734293098246e+18,"W pierwszym czytaniu z 24 lutego (Jk 5, 1-6) padają słowa: ""Oto woła zapłata robotników, żniwiarzy z pól waszych, którą zatrzymaliście (...) tuczyliście serca wasze w dniu rzezi"". Kontekst napaści na Ukrainę wydaje się w ich świetle zdumiewająco trafny. #WojnaWUkrainie",1.2037588579752223e+18,0,0,0,0
1.49973428855987e+18,2022-03-04T13:11:32.000Z,1.49973428855987e+18,#WojnaWUkrainie #RosyjskaAgresja #RosjaUkraina #wpolsce Tymczasem chińska armia ćwiczyła masowe lądowanie w kierunku Tajwanu.👇 https://t.co/gOwxpBMqyZ,1.258521432692265e+18,0,0,0,0
1.4997338143226388e+18,2022-03-04T13:09:39.000Z,1.4997338143226388e+18,"RT @luvxbiebs: Halo‼️‼️ Wierzę w moc Twittera i może dojdzie to do osób z Krakowa, które mogłyby pomóc tej Pani. Proszę o RT zeby trafiło t…",1.3333454229711135e+18,11,0,0,0
1.4997334437474058e+18,2022-03-04T13:08:11.000Z,1.4997334437474058e+18,"Sankcje, sankcje i jeszcze raz sankcje. Rosja nie cofnęła się ani o krok od początku ....
#WojnaWUkrainie",1266519726.0,0,1,2,0
1.4997330047589622e+18,2022-03-04T13:06:26.000Z,1.4997330047589622e+18,"Nie wiem, gdybym był Węgrem, to jednak wolałbym polityka, który potrafi lawirować i jest gwarantem pokoju z Putinem, zamiast takiego, co się napina i zaraz dostanie lepa na otrzeźwienie.

#Rosja #Ukraina #wojna #WojnaWUkrainie #Putin https://t.co/X8Z6wy3T5z",7.701601738978755e+17,0,0,2,0
1.499732830208811e+18,2022-03-04T13:05:45.000Z,1.499732830208811e+18,"RT @92labtattoo: Tak teraz wyglada #Hostomel zabici #rosyjscy żołnierze leżą na ulicy. Materiał video +18❗️

#Ukraina #WojnaWUkrainie #Ukra…",619462193.0,7,0,0,0
1.499731912637694e+18,2022-03-04T13:02:06.000Z,1.499731912637694e+18,"RT @indoda_ende: Zapłacisz za to Rosjo, ty i człowiek, którego wyniosłaś na szczyty władzy.
Za napaść na Ukrainę, za każdego zabitego, za s…",1.402941865087877e+18,1,0,0,0
1.4997313423759892e+18,2022-03-04T12:59:50.000Z,1.4997313423759892e+18,"RT @WojciechDudczak: Oszwabili jak to Szwaby.
#WojnaWUkrainie",3296905239.0,3,0,0,0
1.4997311798341673e+18,2022-03-04T12:59:11.000Z,1.4997311798341673e+18,"BBC news właśnie uruchomiło serwisy informacyjne po rosyjsku i ukraińsku w dark webie.

Tak trzeba walczyć z propagandą!

#SlavaUkraini #WOJNA #WojnaWUkrainie",1.260122409358762e+18,0,0,2,0
1.4997311201324032e+18,2022-03-04T12:58:57.000Z,1.4997311201324032e+18,"W połowie marca rozpoczną się regularne zajęcia dla ponad 40 dzieci w szkole podstawowej i „zerówce” w #Kalisz.👧👦🇺🇦🏫
#ukraine #PomocDlaUkrainy #WojnaWUkrainie #WOJNA 

https://t.co/BtdknIhj7Z",1.3239688768420127e+18,0,0,0,0
1.4997351662977188e+18,2022-03-04T13:15:02.000Z,1.4997351662977188e+18,"RT @AntyAnty77: Lies, Lies, Lies !!! 
Kłamstwa Kłamstwa Kłamstwa!!!

#PutinWarCrimes #PutinIsaWarCriminal
#RussiaInvadedUkraine https://t.c…",1.3609635558650962e+18,3,0,0,0
